yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationxoriginal,locationY,locationYoriginal,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2020,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Driving Layup Shot,2PT Field Goal,20230404,WAS,MIL,22201179,658,4,3,In The Paint (Non-RA),Center,C,Less Than 8 ft.,18,-18,-50,-50,30,5,TRUE,FALSE
2020,2022-23,1610612749,1630699,Shot Chart Detail,MarJon Beauchamp,Milwaukee Bucks,Made Shot,Running Jump Shot,3PT Field Goal,20221223,BKN,MIL,22200483,531,4,9,Left Corner 3,Left Side,L,24+ ft.,227,-227,-43,-43,54,23,TRUE,TRUE
2020,2022-23,1610612749,202083,Shot Chart Detail,Wesley Matthews,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221102,MIL,DET,22200113,127,1,2,Left Corner 3,Left Side,L,24+ ft.,232,-232,-32,-32,48,23,TRUE,FALSE
2020,2022-23,1610612749,1628975,Shot Chart Detail,Jevon Carter,Milwaukee Bucks,Missed Shot,Jump Shot,2PT Field Goal,20221207,MIL,SAC,22200369,471,3,0,Mid-Range,Right Side,R,8-16 ft.,-107,107,-32,-32,46,11,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20230112,MIA,MIL,22200628,333,3,10,Right Corner 3,Right Side,R,24+ ft.,-232,232,-29,-29,2,23,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20230228,BKN,MIL,22200924,507,3,2,Left Corner 3,Left Side,L,24+ ft.,234,-234,-29,-29,43,23,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20230109,NYK,MIL,22200607,428,3,3,Mid-Range,Left Side,L,8-16 ft.,143,-143,-28,-28,59,14,TRUE,FALSE
2020,2022-23,1610612749,1628975,Shot Chart Detail,Jevon Carter,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20230228,BKN,MIL,22200924,600,4,8,Left Corner 3,Left Side,L,24+ ft.,230,-230,-28,-28,56,23,TRUE,TRUE
2020,2022-23,1610612749,1628975,Shot Chart Detail,Jevon Carter,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221102,MIL,DET,22200113,37,1,8,Left Corner 3,Left Side,L,24+ ft.,229,-229,-27,-27,53,23,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Jump Shot,2PT Field Goal,20221215,MEM,MIL,22200425,132,1,4,Mid-Range,Left Side,L,8-16 ft.,119,-119,-27,-27,0,12,TRUE,FALSE
