yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2023,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,7,1,11,Right Corner 3,Right Side,R,24+ ft.,233,22,46,23,TRUE,FALSE
2023,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Made Shot,Step Back Jump shot,2PT Field Goal,20221020,PHI,MIL,22200015,11,1,11,Mid-Range,Center,C,16-24 ft.,-11,234,21,23,TRUE,TRUE
2023,2022-23,1610612749,1628960,Shot Chart Detail,Grayson Allen,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,18,1,10,Above the Break 3,Left Side Center,LC,24+ ft.,-192,197,51,27,TRUE,TRUE
2023,2022-23,1610612749,1628975,Shot Chart Detail,Jevon Carter,Milwaukee Bucks,Made Shot,Pullup Jump shot,2PT Field Goal,20221020,PHI,MIL,22200015,21,1,10,Mid-Range,Center,C,16-24 ft.,-1,205,16,20,TRUE,TRUE
2023,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,26,1,9,Above the Break 3,Right Side Center,RC,24+ ft.,134,231,50,26,TRUE,TRUE
2023,2022-23,1610612749,1628960,Shot Chart Detail,Grayson Allen,Milwaukee Bucks,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20221020,PHI,MIL,22200015,31,1,9,Mid-Range,Right Side,R,8-16 ft.,118,58,2,13,TRUE,FALSE
2023,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Running Layup Shot,2PT Field Goal,20221020,PHI,MIL,22200015,35,1,8,Restricted Area,Center,C,Less Than 8 ft.,27,11,44,2,TRUE,TRUE
2023,2022-23,1610612749,1628960,Shot Chart Detail,Grayson Allen,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,45,1,8,Right Corner 3,Right Side,R,24+ ft.,223,30,1,22,TRUE,TRUE
2023,2022-23,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,20221020,PHI,MIL,22200015,49,1,7,Restricted Area,Center,C,Less Than 8 ft.,-9,9,30,1,TRUE,TRUE
2023,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,54,1,7,Above the Break 3,Right Side Center,RC,24+ ft.,191,195,5,27,TRUE,FALSE
2023,2022-23,1610612749,1628960,Shot Chart Detail,Grayson Allen,Milwaukee Bucks,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20221020,PHI,MIL,22200015,66,1,6,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7,57,8,5,TRUE,FALSE
2023,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Missed Shot,Pullup Jump shot,2PT Field Goal,20221020,PHI,MIL,22200015,74,1,5,Mid-Range,Center,C,16-24 ft.,-56,183,15,19,TRUE,FALSE
2023,2022-23,1610612749,1629670,Shot Chart Detail,Jordan Nwora,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,83,1,4,Above the Break 3,Left Side Center,LC,24+ ft.,-173,220,45,27,TRUE,TRUE
2023,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Jump Shot,2PT Field Goal,20221020,PHI,MIL,22200015,89,1,4,Mid-Range,Center,C,16-24 ft.,4,168,1,16,TRUE,TRUE
2023,2022-23,1610612749,201588,Shot Chart Detail,George Hill,Milwaukee Bucks,Made Shot,Pullup Jump shot,2PT Field Goal,20221020,PHI,MIL,22200015,111,1,3,Mid-Range,Left Side Center,LC,16-24 ft.,-108,147,8,18,TRUE,TRUE
2023,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,114,1,2,Right Corner 3,Right Side,R,24+ ft.,234,22,25,23,TRUE,FALSE
2023,2022-23,1610612749,201586,Shot Chart Detail,Serge Ibaka,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221020,PHI,MIL,22200015,122,1,1,Above the Break 3,Right Side Center,RC,24+ ft.,219,153,54,26,TRUE,FALSE
